Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3030,54.74,4.237066349999992,3227823081922756586,392,0
3030,54.87,4.900114576000021,4399999229144072167,498,1
3030,54.81,4.898564898000018,12101084227555426292,719,1
3030,55.21,4.899622269999952,13815398749411737572,663,1
3030,55.27,4.901227036000023,3964944484046733293,827,1
3030,55.37,4.922809028000017,12799019073292206049,954,1
3015,55.68,4.913531732999957,6166527373312524242,1156,1
3015,55.38,4.910197341000014,3444866628436492288,2239,1
3015,55.38,4.913987807000012,1257850074866778070,1881,1
3015,55.51,4.9120377020000205,7405720899420290998,2905,1
3015,55.71,4.906137946999991,12290666415036432331,3159,1
3015,55.95,4.907662527000014,7081461801340502051,3692,1
3015,55.87,4.909873635999986,8335941666918105039,3996,1
3015,56.03,4.909501900999999,3814742310001704954,3665,1
3015,56.24,4.916069907000008,1276752831686115285,2956,1
3015,55.90,4.916839806999974,11269888617877340169,2171,1
3015,55.92,4.914837384000009,3481783920064725018,2072,1
3015,55.94,4.910436832000016,9797774486277062689,3230,1
3015,56.16,4.936549353999965,4409683736488706025,3468,1
3015,55.90,4.924417600000027,13523746652356345867,2233,1
3015,56.03,4.923704790999977,1962505165018890264,3350,1
3015,56.19,4.926446761000022,1540151928080170987,2531,1
3015,56.17,4.923074334999967,1743253776952066098,3287,1
3015,55.87,4.922205525000038,14166794022991036453,3245,1
3015,55.98,4.9239742009999645,12736382032544268349,2452,1
3015,55.89,4.923216139000033,5282265019164262401,2245,1
3015,56.15,4.924604811999984,609921092265967589,2146,1
3015,55.92,4.923981318000017,9403533697150877661,3013,1
3015,56.23,4.92155887399997,15340298227930365911,3235,1
3015,56.11,4.920027946000005,5011492479967297485,3226,1
3000,55.73,4.2718660200000045,18441598362958561279,25,0
3000,55.93,4.9302578100000005,7285953384239333376,24,1
3000,55.63,4.929565972000034,9240392467278462970,41,1
3000,55.85,4.929069708999975,14196120079593897979,33,1
3000,56.02,4.93114620099999,2052075728139452413,37,1
3000,56.00,4.929980537999995,10960767534342209531,43,1
3000,56.10,4.940197237000007,16135456283707965440,24,1
3000,56.36,4.937314635000007,1374398327713824764,56,1
3000,56.20,4.930532559000028,10608571957762588667,69,1
3000,56.30,4.930778012999951,919499582812717053,50,1
3000,56.23,4.934749062000037,13571069720111480825,68,1
3000,55.85,4.931038781999973,5497997946640269311,67,1
3000,56.20,4.932427899000004,12829761376936394748,68,1
3000,56.41,4.930606344000012,6727427856476930044,56,1
3000,56.30,5.142914772999973,14607196698729381885,18,1
3000,56.20,4.983137879000026,3407456903787577340,25,1
3000,56.14,4.934792807999997,9701211000262623235,54,1
3000,56.23,4.935844056999997,10204294748047015932,69,1
3000,56.17,4.930150635000018,16226583803926282233,94,1
3000,56.33,4.926534330999971,17229549538054242300,71,1
3000,56.36,4.926915247000011,16817672471312859131,51,1
3000,56.47,4.928421138000033,5815123483563261951,18,1
3000,56.27,4.927858216999994,9924394289996234751,82,1
3000,56.49,4.932541694999941,11940933768749252606,25,1
3000,56.33,4.92615377300001,1166634594465611775,72,1
3000,56.27,4.92501577500002,6575281836982009859,57,1
3000,56.01,4.9840562960000625,15830047159166304256,86,1
3000,56.32,4.9406491029999415,6912057857959395331,54,1
3000,56.22,4.92845838300002,8295287467955191808,28,1
3000,56.39,4.9265361459999895,2788818888687222781,51,1
2985,55.72,8.563524225999913,18446744072673427457,2,1
