Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3090,48.52,0.26668744900000263,14579427411073171456,112,13
3090,52.70,0.04538933500001008,5780290971642888192,100,1
3090,52.70,0.04288111199998923,4344997287289421824,122,1
3090,52.70,0.041273488000001635,3762308889235816448,118,1
3090,55.74,0.042907792999997696,17094300773098061824,100,1
3090,55.74,0.04049466000000734,16718936322517893120,98,1
3090,57.40,0.04109108199999412,8569980650105602048,114,1
3090,57.40,0.04268514999999695,810164180108574720,104,1
3090,57.40,0.041094573000009404,11860317576892252160,91,1
3090,58.87,0.04114790599999196,1486381398990782464,110,1
3090,58.87,0.04346788300000526,13967289681499389952,108,1
3090,60.84,0.04358610900000315,2580052459850563584,129,1
3090,60.84,0.042576197999991905,10418022199078420480,106,1
3090,61.86,0.04161150800000257,17413273520630923264,113,1
3090,61.86,0.044520990999998844,2575610358813949952,89,1
3090,61.86,0.04232743600000788,14529078574005878784,105,1
3075,62.86,0.041323222999992026,5882387232561823744,116,1
3075,81.91,0.0598272870000045,8828620969012101120,25,1
3075,81.91,0.04266050600000426,6616254050156806144,18,1
3075,81.91,0.042829494999992335,14965407744,31,1
3075,81.88,0.04344361200000435,8141698889273704448,32,1
3075,81.88,0.04400420599999677,12951780793658245120,37,1
3075,81.51,0.04292877000000317,18446744063237029888,38,1
3075,81.51,0.04356477000000325,18446744070161301504,41,1
3075,81.14,0.04327824299998895,1217141785636503552,34,1
3075,81.14,0.04409006200000931,11683797581520568320,33,1
3075,81.14,0.04461504199998956,18446744063414894592,25,1
3075,81.42,0.044252868000000944,8270719973207965696,31,1
3075,81.42,0.04182646900000009,18446744065511522304,20,1
3075,80.54,0.041585757000007106,4142137344,27,1
3075,80.54,0.04179746500000192,8752420436697939968,38,1
3075,80.51,0.04177461899999457,6387531776,30,1
3075,80.51,0.0422302129999963,660375482577321984,30,1
3075,80.51,0.042350738000010324,1472724992,31,1
3075,81.56,0.043702307999993195,11106571566303281152,14,1
3075,81.56,0.0439575870000084,6687132962627649536,30,1
3075,80.54,0.046559400999996114,16759512692455899136,22,1
3075,80.54,0.04583020999999121,2187922602310369280,40,1
3075,80.52,0.04429616300001271,6921082653980229632,30,1
3075,80.52,0.044737522999994894,15691306368259325952,31,1
3075,80.36,0.0444773109999943,4523109389268811776,30,1
2640,80.36,0.04317067600000257,1546080468237680640,28,1
3075,79.88,0.20982048100000839,1337278798251163648,50,10
3075,79.88,0.04131602299999315,18379550715944239104,25,1
3075,80.59,0.0422138560000036,17423045976912953344,49,1
3075,80.59,0.04329801499999064,12084002213011521536,37,1
3075,81.46,0.04279289100000483,18328867642959069184,24,1
3075,81.46,0.04263296300000263,16349430051485253632,32,1
3075,80.54,0.045708324999992556,10203037696,39,1
3075,80.54,0.043635539000007384,5959414585760940032,33,1
3075,80.32,0.044705411999999,10652279757528236032,32,1
3075,80.32,0.05670016999999916,646447104,25,1
3075,80.31,0.05231373600000211,2924560202158440448,21,1
3075,80.31,0.04496672700000204,8600230421875261440,38,1
3075,79.17,0.045040632999999275,16405408402616352768,34,1
3075,79.17,0.04384490699999333,17954215662720122880,31,1
3075,79.17,0.043086782000003154,15195831255206854656,36,1
3075,80.28,0.044244157999997924,4121594095637102592,21,1
3075,80.28,0.041997166000001585,6401365497395675136,45,1
3075,80.33,0.04256194399999913,216530944,30,1
3075,80.33,0.04386165500000061,3208999458651766784,35,1
3075,80.33,0.046372907000005625,14925720809269624832,34,1
3075,80.33,0.04465499100000159,13462675455554617344,24,1
3075,80.33,0.04353285299998788,18446744070906183680,25,1
3075,80.34,0.04316729700001076,18446744073189982208,27,1
3075,80.34,0.0494235070000002,2036277950230560768,24,1
3075,80.89,0.04648668199999406,4611422122031185920,45,1
3075,80.89,0.043978073000005224,10547817346275082240,26,1
3075,80.23,0.04280103600000018,6054201290379362304,30,1
3075,80.23,0.0419426269999974,13703846725374836736,34,1
3075,79.39,0.041818554999991875,7841637757196435456,28,1
3075,79.39,0.04176854300000343,18446744071508852736,32,1
3075,79.39,0.041333578999996234,10836672242981142528,43,1
3075,80.51,0.04143738700000199,13665680486939754496,39,1
3075,80.51,0.044106073000008905,13054967766126297088,46,1
3075,80.55,0.0435433499999931,1420806518279110656,34,1
3075,80.55,0.04351105100001007,6269336142971535360,31,1
3075,80.57,0.041929539999998156,860249103779627008,24,1
3075,80.57,0.042105793999994034,13550178992042016768,39,1
3075,80.57,0.041635669000001485,1521917600467779584,24,1
3075,81.68,0.043791874999996594,12006139223209279488,44,1
3075,81.68,0.04439088099999822,18446744052397113344,38,1
2640,80.60,0.04718823299999997,13747748046238121984,28,1
3075,81.15,0.22594125700000234,6698347985557782528,35,11
3075,81.15,0.046697366000003626,17890602282272555008,45,1
3075,81.11,0.04487029399999187,531732621581090816,38,1
3075,81.11,0.0445470780000079,5498728023299325952,38,1
3075,81.14,0.04621916199999987,6522786759986774016,23,1
3075,81.14,0.042365275999998175,8973624583096107008,40,1
3075,81.12,0.044286385999996014,4163692212236582912,35,1
3075,81.12,0.045176042000008465,153676534238674944,34,1
3075,81.15,0.04415369800000235,7353454605143113728,45,1
3075,81.15,0.04389952399999686,6117322053376409600,39,1
3075,80.03,0.04588234700000271,18446744066959081472,21,1
3075,80.03,0.04599172199999657,8991932416,35,1
3075,80.03,0.04508108199999583,8775782844869640192,34,1
3075,81.08,0.043729108000007955,864611955325009920,38,1
3075,81.08,0.04530914999999425,12102386062652080128,38,1
3075,81.16,0.044438303999996265,16108311552481427456,36,1
3075,81.16,0.04470406500000479,1872987270191251456,34,1
3075,80.08,0.04633555499999886,7928719100037955584,37,1
3075,80.08,0.043483635000001186,1690125298600902656,23,1
3075,80.06,0.04418077299999368,16243674633909829632,38,1
3075,80.06,0.04252235399999904,14804510636167528448,51,1
3075,80.44,0.056736605000011764,7337595259425128448,33,1
3075,80.44,0.049102894000000674,11688178042360561664,34,1
3075,80.44,0.043764138999989655,1302287959820075008,33,1
3075,79.53,0.043163577000001396,4489341166740701184,34,1
3075,79.53,0.051944231000007335,15186023602602377216,33,1
3075,80.43,0.0445100709999906,3262356554269589504,29,1
3075,80.43,0.0412123800000046,11912108975441182720,37,1
3075,79.53,0.04029160700000034,9347370559823282176,40,1
3075,79.53,0.044026420999998095,13223219402306093056,42,1
3075,79.61,0.05420053699999983,14745321736966242304,59,1
3075,79.61,0.04464519700000835,8189048247152410624,41,1
3075,79.57,0.05687411099999906,14845606005308391424,32,1
3075,79.57,0.04493231499999695,18422959437702234112,60,1
3075,79.57,0.04596327899999153,10856155592282734592,26,1
3075,79.57,0.044457863000005204,14930866532027465728,41,1
3075,79.57,0.04349646800000073,16942207562079797248,30,1
3075,78.76,0.04250174099999526,13416457055879954432,33,1
3075,78.76,0.04257756700000925,14347228157537419264,35,1
2640,79.55,0.04327243099999123,18446744070857424896,40,1
3075,79.49,0.23139012500000433,10448236770735947776,38,11
3075,80.13,0.05712187999999685,3177993242281377792,40,1
3075,80.13,0.05271427499999959,15017068234467442688,41,1
3075,80.07,0.04172858200000462,16454569741399883776,54,1
3075,80.07,0.04130417400000397,18154273981992402944,38,1
3075,80.07,0.042288064999993935,7678417455467593728,42,1
3075,80.36,0.04157615900000167,8720481802875568128,39,1
3075,80.36,0.04383675699999401,18161609932401672192,38,1
3075,80.16,0.042929560000004585,955202929906548736,39,1
3075,80.16,0.04676502899999946,11835785280707231744,59,1
3075,80.07,0.04444964700000753,7889083897003114496,48,1
3075,80.07,0.04434238899999343,6423461275323072512,40,1
3075,80.09,0.04740743300000361,18381441876832026624,40,1
3075,80.09,0.044457925999992653,7091067140644798464,38,1
3075,80.09,0.041978155000009565,12879679205482430464,33,1
3075,81.19,0.04441947699999105,17009638402877030400,44,1
3075,81.19,0.044791318999998,7006360793558024192,46,1
3075,81.01,0.04419428700001049,12260962020905582592,47,1
3075,81.01,0.045888788999988606,10742518871576412160,39,1
3075,80.14,0.0492762970000058,9192057945758236672,54,1
3075,80.14,0.04715779400000031,5817172960345718784,34,1
3075,80.53,0.0559924690000031,3706963882075619328,38,1
3075,80.53,0.051060417999991614,5319287728961224704,37,1
3075,80.15,0.044305040000011786,7693256482609954816,44,1
3075,80.15,0.04217074700000012,2416154825544171520,44,1
3075,79.57,0.04483731599999885,4500230724510679040,43,1
3075,79.57,0.044767182999990496,12079815296200343552,34,1
3075,79.57,0.045785278000010976,10385124819731873792,53,1
3075,79.56,0.0458993219999968,17549815258669907968,34,1
3075,79.56,0.04455696499999817,16181838075639365632,42,1
3075,79.56,0.04183838499999126,7053041636281286656,43,1
3075,79.56,0.041570751000008954,15930920754442928128,37,1
3075,79.57,0.04375188800000274,2480753310102192128,45,1
3075,79.57,0.041551466999990794,1118871837674307584,35,1
3075,79.57,0.04171989900000028,3449211950939635712,39,1
3075,79.67,0.04159770500000093,7187868160456261632,37,1
3075,79.67,0.0449068890000035,7888881585139089408,35,1
3075,80.70,0.04568451900000525,8460821126937051136,57,1
3075,80.70,0.057443636999991554,1079025531676262400,41,1
2640,78.46,0.05334409600000356,12589267406136803328,58,1
3075,78.66,0.21949564700000224,15045224551413710848,48,10
3075,79.34,0.04532298299999127,2225015712971227136,35,1
3075,79.34,0.044094580000006545,1895892305835065344,37,1
3075,79.34,0.04256161899999711,12405983187719290880,48,1
3075,80.52,0.04123832199999811,1906790666688790528,44,1
3075,80.52,0.04497777299999939,2442331960563073024,38,1
3075,80.53,0.04218087800001058,3774676210688327680,50,1
3075,80.53,0.04520311799998922,2130061888124616704,43,1
3075,80.58,0.04209049900001105,16831068931212705792,55,1
3075,80.58,0.044242186999994715,10788091450117980160,55,1
3075,80.58,0.04214993899999797,1921629671956021248,49,1
3075,79.85,0.04255681600000116,18446744072833466368,40,1
3075,79.85,0.04837504900000056,5611192320,41,1
3075,80.52,0.044194797999992375,15648363847955513344,36,1
3075,80.52,0.044212273000013624,3942813532711944192,54,1
3075,80.46,0.04298078099999714,13734562695367360512,42,1
3075,80.46,0.045124661000002675,8787059447838932992,50,1
3075,79.45,0.04447357999998758,10188092332337528832,57,1
3075,79.45,0.042532778000008875,2809727191939153920,52,1
3075,79.45,0.041885401999991245,11147913226152443904,55,1
