Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3030,80.80,29.144241834999775,18446744071192182784,1,44960
3030,80.88,4.249983582000368,18446744071749238784,1,6391
3030,80.98,4.496278729999631,18446744073218686976,1,6792
3030,81.45,2.2099838580002142,18446744070809714688,1,3356
3030,80.88,0.4676293449997502,1594490880,1,669
3030,79.71,0.5665250220004054,18446744072699379712,1,816
3030,80.18,1.3097938709997834,18446744071744913408,1,1899
3030,80.24,0.854911574000198,18446744072671723520,1,1255
3030,79.93,0.32652884799972526,18446744071459045376,1,444
3030,80.42,2.9503486990001875,18446744070609043456,1,4369
3030,80.32,0.22857548100000713,18446744069900468224,1,316
3030,79.99,0.09469793300013407,18446744072540258304,1,121
3030,79.52,0.08222627199984345,1779826688,1,101
3030,79.33,0.26046687400003066,18446744072431599616,1,367
3030,78.82,0.3127583450000202,18446744073453961216,1,438
3030,79.49,0.5268767419997857,606208000,1,762
3015,81.96,4.469903785000042,18446744073495248896,1,6636
3015,82.38,1.4706859709999662,1978531840,1,2255
3015,82.04,1.962791640999967,9776030561440104448,1,3002
3015,81.76,0.7574709489999805,1273364480,1,1147
3015,82.35,1.4372705600003428,678035456,1,2229
3015,82.29,3.187878490000003,5007818067682525184,1,4879
3015,81.90,0.10188096399997448,18446744072835170304,1,128
3015,82.70,2.6922153030000118,18446744071322468352,1,4126
3015,82.56,0.27398383799982184,1324613632,1,409
3015,82.46,0.3682839799998874,18446744070349389824,1,555
3015,81.86,0.5287517890001254,18446744073275572224,1,753
3015,81.54,0.8595432860001893,18446744072452571136,1,1266
3015,81.28,0.26667702899976575,18446744071606763520,1,375
3015,81.25,0.2193822200001705,289406976,1,306
3000,84.92,28.98047826500033,1021444096,1,45634
3000,85.68,10.119868906999727,1083179008,1,15478
3000,83.95,2.9614267690003544,1215206639297101824,1,4291
3000,86.54,5.333398122999824,1995309056,1,8179
3000,87.76,14.011047899999994,11590286319921659904,1,21339
