Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3045,52.04,0.36871197100003883,2942042112,1,19
3045,59.26,0.15785842599996158,18446744073341370368,1,7
3045,61.11,0.0625055269999848,2684878848,1,2
3045,81.26,0.135447599000031,18446744073109241856,1,6
3045,85.20,0.06167461799998364,18446744073304932352,1,2
3045,92.16,0.18857371100000364,18446744072179548160,1,9
3045,98.46,0.0449915049999845,1063256064,1,1
3045,103.08,0.09922513599997274,25427968,1,4
3045,104.61,0.09939303999999538,418512896,1,4
3045,107.62,0.3659699540000929,18446744070616252416,1,19
3045,107.62,0.0838863379999566,214433792,1,3
3045,108.79,0.061860165999974015,18446744070815875072,1,2
3045,114.21,0.4732786130000477,2724855808,1,25
3045,115.71,0.4720245339999565,18446744073028370432,1,25
3045,120.08,0.23821158199996262,18446744071486439424,1,12
3045,120.08,0.04141718200003197,1299841024,1,1
3045,116.80,0.08022034400005396,18446744071715422208,1,3
3045,116.80,0.04314272699991761,511574016,1,1
3045,115.35,0.3663884730000291,3018719232,1,19
3045,113.52,0.18627078400004393,2057961472,1,9
3045,112.71,0.1884940300000153,18446744072897167360,1,9
3045,111.21,0.09934463999991294,18446744072779595776,1,4
3045,111.81,0.16776872500008722,3003645952,1,8
3045,114.45,0.1882955219999758,1150156800,1,9
3045,112.23,0.11737502699998004,18446744073479127040,1,5
3045,112.23,0.07915104799997152,999161856,1,3
3045,111.05,0.15022923300000457,18446744072999927808,1,7
3045,108.95,0.13237682999999834,1413087232,1,6
3045,108.79,0.04489307699998335,2338979840,1,1
3045,109.77,0.24053104500001155,63963136,1,12
3045,109.12,0.07896122600004674,18446744071283933184,1,3
3045,109.84,0.22386144300003252,2325217280,1,11
3045,113.29,0.40085297299992817,18446744072667660288,1,21
3045,115.28,0.20707009300008394,18446744072839364608,1,10
3045,114.54,0.15257105099999535,18446744072763211776,1,7
3045,116.56,0.25726852699995106,1978269696,1,13
3045,114.66,0.117519872999992,18446744071073300480,1,5
3045,114.66,0.06262646200002564,18446744072602648576,1,2
3045,111.30,0.2423311879999801,1765933056,1,12
3045,114.63,0.3881775160000416,18446744072213102592,2,21
3045,116.77,0.32809116299995367,1687552000,1,17
3045,117.09,0.13522442700002557,52166656,2,6
3045,117.06,0.11858297899993886,18446744072498053120,1,5
3045,116.71,0.20420933299999433,18446744069504106496,1,10
3045,115.31,0.045272422000039114,18446744073502851072,1,1
3045,113.33,0.0968624390000059,18446744071671119872,1,4
3045,111.44,0.11685485600003176,3964272640,1,5
3045,111.10,0.29087366700002804,18446744071019560960,1,15
3045,109.99,0.09748356000000058,18446744071435583488,2,4
3045,109.66,0.13317554399998244,18446744070020268032,1,6
3045,113.35,0.38087268200001745,1756626944,1,20
3045,119.09,0.6648488189999853,3691773952,1,36
3045,120.02,0.18751030900000387,2206859264,1,9
3045,118.11,0.1842135029999099,18446744073268101120,1,9
3045,117.56,0.1136501110000836,18446744072892710912,1,5
3045,116.98,0.13471901699995215,18446744073421848576,1,6
3045,114.76,0.11648687199999586,816054272,1,5
3045,113.55,0.07782605700003842,1650065408,1,3
3045,113.55,0.043674940999949285,811597824,1,1
3045,110.17,0.11633901800007607,267517952,1,5
3045,110.06,0.21536642599994593,18446744072297644032,1,11
3045,109.77,0.04108969399999296,1959526400,1,1
3045,107.80,0.1702539620000607,18446744072712749056,1,8
3045,108.33,0.13577430799989543,18446744070358958080,1,6
3045,107.84,0.16958463700007087,51249152,1,8
3045,107.84,0.04626994000000195,18446744072051621888,1,1
3045,110.11,0.24248964100002013,323223552,1,12
3045,112.25,0.16876305599998886,18446744071977566208,1,8
3045,110.41,0.20604097499995078,18446744069613682688,2,10
3045,114.62,0.43675501200004874,18446744070358958080,1,23
3045,116.71,0.22175120999997944,18446744071019560960,1,11
3045,115.89,0.18849554700000226,18446744071355891712,1,9
3045,115.89,0.06156989600003726,1758199808,1,2
3045,116.92,0.38247218799995153,18446744072830582784,1,20
3045,115.87,0.2769097980000197,18446744073168486400,1,14
3045,113.84,0.1696094889999813,2403467264,1,8
3045,115.08,0.24159186899998986,1978269696,1,12
3045,116.31,0.23936395400005495,18446744071609253888,2,12
3045,114.78,0.2051359859999593,18446744069880283136,1,10
3045,118.11,0.443545505999964,1088290816,1,24
3045,118.10,0.29573407100008353,18446744073144631296,1,15
3045,118.06,0.27662895999992543,18446744071998930944,1,14
3045,119.15,0.1319613240000308,1153695744,1,6
3045,115.78,0.2581951659999504,548667392,1,13
3045,115.78,0.079025088000094,11110345096350924800,1,3
3045,113.54,0.22137799999995877,18446744070752960512,1,11
3045,114.69,0.20545419699999456,2338848768,1,10
3045,114.69,0.043721649999952206,659816448,1,1
3045,111.38,0.06348688900004618,2307915776,1,2
3045,109.16,0.07857159399998181,1291976704,1,3
3045,110.27,0.2061112910000702,1480458240,1,10
3045,109.66,0.13403978699989239,18446744072699904000,1,6
3045,108.04,0.0627076630000829,18446744071291142144,1,2
3045,111.35,0.38273625699991953,1881276416,1,20
3045,113.59,0.2597045250000747,285605888,1,13
3045,114.71,0.15045765599995775,1030094848,1,7
3045,114.71,0.221518231999994,4148297728,2,11
3045,115.11,0.18851155100003325,504496128,1,9
3045,115.11,0.04469680099998641,18446744073384755200,1,1
3045,113.65,0.11482103800005916,1039532032,1,5
3045,113.25,0.20666959499999393,885522432,1,10
3045,114.14,0.34216011599994545,689176576,1,18
3045,112.57,0.09656390199995712,1133117440,1,4
3045,112.54,0.18619040700002643,18446744073300213760,1,9
3045,117.42,0.4372587500000691,3964272640,1,23
3045,115.99,0.07910288099992613,18446744072637513728,1,3
3045,115.99,0.060844033000080344,18446744073107275776,1,2
3045,113.72,0.24027612999998382,982384640,1,12
3045,113.72,0.08151151499998832,120717312,1,3
3045,114.73,0.25862519700001485,18446744072794931200,1,13
3045,114.73,0.041623612999956094,18446744070337200128,1,1
3045,112.61,0.2809216140000217,2516058112,1,15
3045,110.39,0.11743774499996107,18446744072261861376,1,5
3045,111.65,0.06301059500003703,1174667264,1,2
3045,112.78,0.23005865899995115,2119565312,1,12
3045,112.50,0.06267994200004523,2892890112,1,2
3045,113.57,0.09329150400003527,2097414144,2,4
3045,111.44,0.117542905999926,18446744072109293568,1,5
3045,110.07,0.11522072299999309,18446744072833073152,1,5
3045,111.37,0.16152813500002594,18446744072436187136,1,8
3045,111.29,0.23966010900005585,113246208,1,12
3045,111.56,0.09266595399992639,18446744073624354816,1,4
3045,116.86,0.4707152539999697,18446744072565555200,1,26
3045,115.76,0.05975860700004887,943587328,1,2
3045,116.22,0.11733261999995648,7360139632425566208,1,5
3045,116.93,0.34064261200001056,18446744072439070720,1,18
3045,118.06,0.17097358099999838,295829504,1,8
3045,116.18,0.15330572800007758,1393426432,1,7
3045,114.07,0.17066375999991124,2476867584,1,8
3045,113.61,0.1497761470000114,18446744072756789248,1,7
3045,113.61,0.060862957000040296,18446744071694974976,1,2
3045,112.49,0.08334237700000813,1267073024,1,3
3045,112.40,0.3616602040000316,131072000,2,19
3045,112.40,0.08061043599991535,18446744073562882048,1,3
3045,110.19,0.11586285100008809,18446744073688711168,1,5
3045,110.19,0.0633109149999882,3297771520,1,2
3045,110.15,0.06116248499995436,445382656,1,2
3045,110.15,0.04411491100006515,718405632,1,1
3045,113.48,0.45227877499996794,18446744073474670592,1,24
3045,113.48,0.06349268899998606,18446744072591900672,1,2
3045,110.13,0.15132483800005048,18446744069781454848,1,7
3045,110.11,0.1695701349999581,528089088,1,8
3045,110.11,0.10059983799999372,18446744071804157952,1,4
3045,114.01,0.2052787110000054,2855796736,1,10
3045,112.38,0.2579977149999877,18446744072101036032,1,13
3045,110.20,0.13465140300002076,18446744071458652160,1,6
3045,110.20,0.07947607200003404,18446744071413170176,1,3
3045,111.29,0.153032097999926,18446744072201568256,1,7
3045,111.27,0.1000358530000085,18446744071187595264,1,4
3045,110.13,0.11715836600001239,228065280,1,5
3045,110.10,0.15216516800001045,18446744073014083584,1,7
3045,110.10,0.042073817999948915,1144520704,1,1
3045,108.84,0.09691567600009421,1025507328,1,4
3045,108.84,0.04216346699990936,18446744073639428096,1,1
3045,108.27,0.24190633700004582,18446744073020899328,1,12
3045,109.00,0.22252085499997065,18446744073667215360,1,11
3045,110.13,0.20390361199997642,18446744073550823424,1,10
3045,111.32,0.15150511500007724,34996224,1,7
3045,110.25,0.09902592100002039,18446744071550009344,1,4
3045,110.25,0.06130994699992698,164626432,1,2
3045,109.52,0.08161694000000352,313262080,1,3
3045,111.38,0.18626794400006474,18446744069953159168,1,9
3045,111.33,0.2245516169999746,2093875200,1,11
