Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3015,56.31,4.276976818000037,4092417472862355450,97,0
3015,56.40,4.936567195999999,12784769356568068089,108,1
3015,56.46,4.922754534999967,14191176684393070587,114,1
3000,57.50,4.982094183000015,18165840838276153343,100,1
3000,56.76,5.082324449999987,2111317414503645185,114,1
3000,56.89,4.975501976000032,14699977877145911293,121,1
3000,56.64,4.978244259000007,3738031693869350913,124,1
3000,56.87,5.073093810999978,10577970353790910462,136,1
3000,57.46,5.135753389999991,3754937782153904122,136,1
3000,56.81,5.08543238499999,13522330561763344370,140,1
3000,56.87,5.011246483999969,13151689590770892787,223,1
3000,57.05,4.98538419800002,16065043567788687359,130,1
