Frequency (MHz),Power (Watts),Error Time (s),Error Magnitude,Hamming Distance
3105,44.77,0.23470115661621094,0.03834772,192
3105,44.77,0.04835844039916992,0.05014801,193
3105,45.65,0.044205427169799805,0.027915955,181
3105,45.65,0.043747901916503906,0.03797531,230
3105,46.43,0.04188799858093262,0.045475006,243
3105,46.43,0.04646730422973633,0.030254364,151
3105,46.43,0.04458189010620117,0.0509758,131
3105,47.00,0.044252872467041016,0.042142868,177
3105,47.00,0.04591703414916992,0.03894806,155
3105,47.50,0.04334878921508789,0.08387756,216
3105,47.50,0.044664621353149414,0.06805128,216
3105,47.95,0.04437589645385742,0.03998947,238
3105,47.95,0.04495072364807129,0.048506737,183
3105,48.43,0.04230451583862305,0.060394287,208
3105,48.43,0.04563188552856445,0.04328537,220
3105,48.43,0.04212641716003418,0.019268036,138
3105,58.67,0.043231964111328125,0.07147598,206
