Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3045,52.77,0.8121606669992616,18446744072387559424,1,1156
3045,74.85,0.40022694500112266,18446744073621733376,1,587
3045,76.40,0.15853219400014495,2147090432,1,211
3045,77.97,0.04016760899867222,18446744070541672448,1,39
3045,77.92,0.10907039199992141,18446744071531659264,1,141
3045,77.92,0.03346322099969257,18446744070772490240,1,30
3045,79.88,1.13077312400128,2097938432,1,1695
3045,79.49,0.3904468700002326,421527552,1,543
3045,79.08,0.031547009999485454,409862144,1,27
3045,80.39,1.2169567820001248,18446744072532787200,1,1840
3045,79.77,0.2630320999996911,18446744072748269568,1,378
3045,79.54,0.10439355000016803,18446744071270825984,1,138
3045,79.52,0.5015639640005247,853016576,1,754
3045,80.82,1.3695947199994407,1414135808,1,2096
3045,80.85,1.9751742780008499,18446744072411152384,1,3031
3045,80.05,0.8955644559991924,18444492273895866368,1,1338
3045,80.67,1.0116271900005813,18446744073370861568,1,1544
3045,80.72,0.4128988849988673,1364459520,1,616
3045,79.19,0.42560871900059283,18446744072430551040,1,580
3045,79.17,0.4715233980004996,11532935793416863744,1,689
3045,80.02,0.5723447929995018,2251799813685248,1,866
3045,80.83,0.5883830669990857,18446744072055685120,1,889
3045,79.92,0.5761820750012703,12990378038452551680,1,823
3045,78.81,0.42984878700008267,18446744071257194496,1,599
3045,78.36,0.06921523399978469,824049664,1,87
3045,78.36,0.04252029999952356,18446744070519259136,1,44
3045,78.15,0.05809841900008905,630194176,1,70
3045,78.15,0.08587074000024586,2031353856,1,114
3045,78.77,0.5363014140002633,18446744070477709312,1,810
3045,78.46,0.3021610050000163,1319501824,1,419
3045,79.28,0.17856704499899934,18446744073482272768,1,256
3045,79.11,0.3817383570003585,1464860672,1,538
3045,81.32,1.4384120800004894,18446744072017936384,1,2205
3045,80.94,0.1610200609993626,18446744072469610496,1,227
3045,80.60,0.6648909850009659,56229888,1,1008
3045,80.60,0.03075676299886254,18446744073556066304,1,25
3045,79.92,0.10762613699989743,38404096,1,146
3045,79.93,0.2525931380005204,104202240,1,371
3045,79.93,0.036683263000668376,18446744071794196480,1,38
3045,79.51,0.2182034229990677,18446744070621626368,1,318
3045,79.51,0.04932229299993196,1063201356370804736,2,44
3045,78.21,0.3411770330003492,18446744072935964672,1,467
3045,78.63,0.4192321720001928,1147666432,1,615
3045,78.62,0.08837504499933857,7505899689896574976,1,110
3045,78.62,0.023229383001307724,14011340555540234240,1,16
3045,77.92,0.07538955800009717,835715072,1,95
3045,77.93,0.19617843099877064,18446744073480962048,1,281
3045,78.87,0.33003586800077755,11942710582949445632,1,462
3045,78.66,0.10754318500039517,933232640,1,145
3045,78.20,0.13388341599966225,3555852288,1,171
3045,79.42,0.5727898829991318,2711879680,1,854
3045,79.26,0.11587426200094342,554827776,1,157
3045,79.05,0.10333238899875141,880672768,1,132
3045,79.85,0.3428029120004794,18446744072397914112,1,494
3045,79.85,0.04166213200005586,118489088,1,42
3045,79.85,0.02706915700036916,115343360,1,22
3045,78.69,0.24761955099893385,717357056,1,342
3045,78.35,0.24193044599996938,18446744071432306688,1,353
3045,78.53,0.15524965000076918,18446744072017936384,1,206
3045,78.53,0.04522599799929594,44302336,1,50
3045,78.20,0.31402484600039315,18446744071531659264,1,438
3045,77.87,0.03063661200030765,18446744072767275008,1,28
3045,80.50,0.8030950840002333,3272343552,1,1220
3045,80.23,0.09972638500039466,1649147904,1,127
3045,80.23,0.07499488400026166,18446744071906000896,1,83
3045,79.81,0.36772588699932385,2763915264,1,515
3045,79.15,0.16517748600017512,735707136,1,217
3045,79.15,0.029313929999261745,18446744070749945856,1,23
3045,78.41,0.0774805290002405,1181089792,1,94
3045,77.68,0.3081785350004793,18446744071233077248,1,436
3045,77.80,0.08171035499981372,2711879680,1,106
3045,77.80,0.016700795000360813,18446744073232187392,1,3
3045,78.18,0.22726387199872988,18446744072188067840,1,330
3045,78.18,0.01603383300061978,18446744069592842240,1,1
3045,77.69,0.18901717200060375,2135949312,1,271
3045,77.75,0.11192885499986005,3029805445406523392,1,139
3045,78.63,0.2793011329995352,824049664,1,412
3045,78.40,0.16093070699935197,1668415488,1,219
3045,78.41,0.10997343300005014,82706432,1,150
3045,78.72,0.17974683400098002,18446744073676521472,1,257
3045,79.47,0.42809382199993706,18446744070770655232,1,601
3045,79.47,0.0406128329996136,3994684073384607744,1,43
3045,78.69,0.10048755699972389,503840768,1,128
3045,78.69,0.019884768000338227,148635648,1,12
3045,78.36,0.1392615790009586,18446744071388790784,1,182
3045,77.85,0.14651794099881954,18446744072684961792,1,191
3045,77.59,0.021257845000945963,793903104,1,12
3045,77.82,0.3399196029986342,714997760,1,467
3045,77.58,0.28302399200038053,18446744072919580672,1,393
3045,77.58,0.048492820000319625,1975255040,1,52
3045,78.13,0.156181860000288,18446744070770655232,1,208
3045,78.75,0.33701134200055094,6116820679829487616,1,477
3045,78.75,0.015056312999149668,5171011983675359232,2,5
3045,78.66,0.20061310799974308,18446744073368240128,1,289
3045,78.70,0.28131111900074757,9073750494547017728,1,389
3045,78.41,0.10483922599996731,18446744073145942016,1,134
3045,78.73,0.09900992499933636,18446744073329180672,1,125
3045,79.04,0.35243202300080156,151650304,1,513
3045,79.04,0.07396198899914452,1673527296,1,89
3045,78.98,0.04642821100060246,1676804096,1,49
3030,80.71,2.3044064820005588,1251999744,1,3324
3030,79.52,1.854972403998545,18446744071277510656,1,2626
3030,79.63,1.2133166310013621,1020264448,1,1710
3015,82.09,2.059986440999637,17805157048669700096,1,3188
3015,82.11,4.1926150059989595,17410977732065492992,1,6265
3015,82.54,5.597783455999888,12297536179372294144,1,8501
3015,80.92,4.713920398000482,7420524811023024128,1,7035
3015,82.70,4.399080715000309,2483576864820428800,1,6889
3015,80.39,0.9143918219997431,2483576864820428800,1,1288
3015,80.39,0.0564556610006548,6713679571851411456,1,61
3015,79.65,0.5347812599993631,18416511901992222720,1,747
3015,82.49,1.5372491769994667,9383557686882205696,1,2366
3015,83.15,1.7168937240003288,3272998912,1,2679
3015,82.05,0.23376741300126014,18446744073304932352,1,315
3015,81.95,0.8192135819990654,17708505578541678592,1,1266
3015,81.71,0.532458472000144,87556096,1,742
3015,80.99,0.11319516299954557,2228617216,1,135
3015,81.71,0.854684867999822,14897670072830001152,1,1314
3015,82.34,0.3262027630007651,18446744072709210112,1,448
3015,81.75,0.14300778100005118,422485143949672448,1,192
3015,80.93,0.2533518149994052,3720347648,1,341
3015,82.44,0.9045803139997588,18446744072961654784,1,1399
3015,82.54,0.20954905400139978,60817408,1,309
3015,82.52,0.08526184799848124,18446744073486860288,1,101
3015,82.52,0.02561619300104212,18446744071858552832,1,19
3015,80.55,0.5274112320003042,18446744072314290176,1,727
3015,79.89,0.20844434199898387,3051356160,1,307
3015,79.89,0.08599729300112813,17833594817410498560,1,103
3015,79.48,0.09230742699946859,18404901059202908160,1,123
3015,79.48,0.01474051200057147,2283798528,1,3
3015,80.31,0.3807045109988394,18446744072789164032,1,553
3015,80.48,0.6512244929999724,2956066816,1,913
3015,80.41,0.18883551600083592,18446744073513336832,1,252
3015,80.65,0.28570026799934567,2780430336,1,425
3015,80.57,0.4655168839999533,18446744071373979648,1,647
3015,80.53,0.2228467280001496,18446744071373979648,1,328
3015,80.50,0.3058640769995691,2956460032,1,419
3015,80.50,0.42269492000014,1167589376,1,587
3015,81.17,0.4743886200012639,18446744070379536384,1,715
3015,80.93,0.06568603399864514,193855488,1,72
3015,80.84,0.25970042500011914,18446744071287078912,1,351
3015,80.89,0.26496997800131794,306970624,1,394
3015,80.78,0.08101052199890546,1680867328,1,105
3015,80.50,0.22978612199949566,1020264448,1,310
3015,79.93,0.1261178020013176,13977554762241933312,1,177
3015,79.93,0.06313598199994885,18446744072970698752,1,71
3015,79.91,0.36565705399880244,18446744072964145152,1,500
3015,79.49,0.19187847300054273,1302200320,1,256
3015,79.26,0.06719331100066483,18446744070543507456,1,74
3015,79.26,0.05662298099923646,61079552,1,61
3015,79.12,0.216560587999993,3287126350678196224,1,318
3015,79.47,0.2127458260001731,1033633792,1,287
3015,79.47,0.05346724899936817,318767104,1,44
3015,78.96,0.11656121400119446,18446744072999403520,1,158
3015,79.54,0.45944749299997056,667156480,1,638
3015,80.35,0.29933757499929925,2548826112,1,448
3015,80.82,0.777354343999832,170131456,1,1082
3015,80.93,0.27006380400052876,18446744071926972416,1,400
3015,80.53,0.09113294800044969,303562752,1,111
3015,80.84,0.21082309299890767,18446744071373979648,1,308
3015,80.67,0.21030763700036914,3710124032,1,282
3015,80.62,0.1525304770002549,6367658864543793152,1,217
3015,80.51,0.18524403199990047,2577530880,1,244
3015,80.39,0.2420944919995236,18446744073378070528,1,357
3015,80.37,0.1291496920002828,129105920,1,166
3015,80.34,0.12988554699950328,18446744071835484160,1,183
3015,80.99,0.4118727000004583,1658191872,1,613
3015,80.99,0.017177210000227205,2516713472,1,2
3015,80.81,0.2841214130003209,557187072,1,383
3015,80.42,0.09218117599994002,1302200320,1,123
3015,80.35,0.11170318499898713,18446744071777681408,1,141
3015,80.35,0.038718063000487746,12062759660516540416,1,39
3015,79.96,0.32426118700095685,2321547264,1,445
3015,79.50,0.18325878599898715,7811317631813681152,1,243
3015,80.38,0.3589638930006913,1486487552,1,542
3015,80.61,0.16998537499966915,1491599360,1,224
3015,81.54,0.29636757700063754,18446744072125022208,1,441
3015,81.54,0.04597900899898377,18446744071290355712,1,47
3015,80.97,0.08644441300020844,1445462016,1,102
3015,81.56,0.1936009130004095,1251213312,1,282
3015,80.89,0.7279076499999064,18446744070543507456,1,1016
3015,80.99,0.16029778700067254,18446744070187646976,1,208
3015,82.49,0.7339244719987619,11142644349928472576,1,1128
3015,82.08,0.8271798540008604,1445462016,1,1150
3015,81.76,0.5925764730000083,1024327680,1,797
3015,81.19,0.17589524299910408,17948119948559646720,1,217
3015,81.02,0.12742363399956957,2450653184,1,158
3015,80.77,0.0490447120009776,1476395008,1,49
3015,80.50,0.3967741800006479,18446744073350807552,1,537
3015,80.05,0.09533253699919442,1559363584,1,118
3015,82.36,0.5822777039993525,18446744072259108864,1,868
3015,82.94,0.37720096800148895,2820407296,1,568
3015,82.81,0.030720430999281234,1046872064,1,22
3015,82.82,0.17587206200005312,18446744070598033408,1,232
3015,84.30,2.0460729930000525,18446744071650934784,1,3177
3015,84.30,0.015011815999969258,3930657312275955712,1,3
3015,83.44,0.18461921699963568,18446744072754036736,1,251
3015,84.37,0.987933434000297,2364801024,1,1517
3015,84.34,0.4526640870008123,617349120,1,673
3015,84.09,0.3726049889992282,18446744071536771072,1,559
3000,85.65,15.456580411000687,1146093568,1,24034
3000,85.18,1.2803357359989604,15029866554860765184,1,1922
3000,86.13,2.339709361000132,4031935527333658624,1,3623
3000,86.39,2.8081457019998197,9768571474557272064,1,4328
3000,86.55,1.9436551920007332,9797026835484114944,1,2990
3000,86.88,3.1376049899990903,7185651535144026112,1,4861
3000,86.30,0.23383627200018964,1120927744,1,332
3000,87.83,6.295835683000405,1455554560,1,9781
3000,88.54,6.145491608000157,4754314666782490624,1,9537
3000,90.97,1.3339435269990645,18446744071624196096,1,2055
