Frequency (MHz),Power (Watts),Error Time (s),Error Distance,Hamming Distance,Error Iterations Since Last Error
3075,42.79,0.26967394199891714,3240099840,1,381
3075,42.79,0.013049604000116233,18446744069156765696,2,1
3075,42.79,0.01505121400077769,9329523287950753792,2,2
3075,42.79,0.016208433000429068,18446744073067954176,2,4
3075,42.79,0.016011636000257568,13234029815167713280,1,5
3075,42.79,0.015503804999752901,18446744071805861888,2,3
3075,43.84,0.01820428099927085,18446744070121455616,1,3
3075,43.84,0.013635870000143768,18446744072125415424,1,1
3075,43.84,0.01464050499998848,18446744073421062144,2,2
3075,43.84,0.01780936099930841,11586495203116056576,2,7
3075,43.84,0.013470618001520052,18446744073603907584,1,1
3075,43.84,0.01348875699841301,18446744071652376576,1,1
3075,44.72,0.015151712001170381,18446744069475270656,2,1
3075,44.72,0.01985566999974253,198180864,1,5
3075,44.72,0.017210910000358126,18446744072196456448,1,3
3075,44.72,0.016659250999509823,18446744073607184384,1,5
3075,44.72,0.0126142080007412,18446744071599292416,1,1
3075,44.72,0.01790485899982741,1036779520,2,3
3075,45.52,0.015439803999470314,2558525440,1,1
3075,45.52,0.014424744000280043,18446744072634368000,2,1
3075,45.52,0.015525167998930556,10748034024766177280,1,1
3075,45.52,0.015533155001321575,10892228377679233024,1,2
3075,45.52,0.016254955999102094,18446744072069709824,1,2
3075,45.52,0.016162228001121548,923686524355084288,1,2
3075,45.52,0.01538904500011995,18446744072327397376,1,1
3075,46.12,0.015849686998990364,18446744070634340352,1,1
3075,46.12,0.01624348800032749,532807680,1,4
3075,46.12,0.015379922999272821,1592786944,1,1
3075,46.12,0.013323541001227568,18446744073608757248,3,1
3075,46.12,0.017743380998581415,7185862641376559104,1,3
3075,46.12,0.013605291000203579,8093742586570735616,1,1
3075,46.67,0.01490915300018969,532807680,1,1
3075,46.67,0.015910621999864816,18446744073043705856,2,1
3075,46.67,0.016509099999893806,8032864826764034048,1,6
3075,46.67,0.016350459000022965,2912550912,1,4
3075,46.67,0.013435742999718059,18446744071959609344,1,1
3075,46.67,0.014934400000129244,18446744072432123904,1,1
3075,46.67,0.015269904000888346,3308126208,1,1
3075,47.20,0.015309926000554697,18446744071822508032,1,1
3075,47.20,0.017871174999527284,18446744071888306176,1,3
3075,47.20,0.013523153000278398,15451586438717505536,1,2
3075,47.20,0.016827153998747235,9309987164844457984,1,2
3075,47.20,0.015393768000649288,10778820350343905280,1,1
3075,47.20,0.016501568999956362,8831031103692210176,2,2
3075,47.66,0.014707083000757848,10892228377679233024,1,2
3075,47.66,0.01478457399934996,1199964160,1,4
3075,47.66,0.014933358999769553,2804547584,1,2
3075,47.66,0.012976273999811383,18446744070887047168,1,1
3075,47.66,0.01545586199972604,17610701820227747840,1,1
3075,47.66,0.014535517000695108,8632934292739063808,1,1
3075,47.66,0.015184665999186109,18446744071732199424,1,1
3075,56.63,0.016986555001494708,18446744073186312192,1,2
3075,56.63,0.014347465999890119,18446744071119699968,1,3
3075,56.63,0.012948911999046686,14793937747872055296,2,1
3075,56.63,0.015052151000418235,1338507264,1,1
3075,56.63,0.015368025999123347,2712928256,1,1
3075,56.63,0.015425395000420394,14138039479432118272,1,1
3075,57.08,0.01675100600004953,18446744071746617344,1,2
3075,57.08,0.015350346000559512,18446744072207073280,1,2
3075,57.08,0.01548608399934892,1968832512,1,2
3075,57.08,0.01876390700090269,6365169570218508288,1,4
3075,57.08,0.023722480998912943,18446744073607577600,1,8
